Date, Open, High, Low, Close, Volume
06/14/13, 92.78, 92.94, 92.55, 92.81, 3909126
06/13/13, 91.65, 92.82, 91.65, 92.70, 7526548
06/12/13, 91.93, 92.12, 91.63, 91.65, 9194054
06/11/13, 91.5775, 92.235, 91.29, 91.58, 9065190
06/10/13, 92.34, 92.59, 92.08, 92.15, 7677976
06/07/13, 92.44, 92.97, 92.20, 92.34, 8879774
06/06/13, 91.40, 92.59, 91.32, 92.28, 11849735
06/05/13, 92.19, 92.24, 91.44, 91.56, 10309180
06/04/13, 92.50, 93.05, 92.19, 92.36, 7926983
06/03/13, 92.38, 92.52, 91.80, 92.36, 14320842
05/31/13, 93.97, 94.11, 92.90, 92.92, 6809512
05/30/13, 94.00, 94.36, 93.69, 94.17, 5462099
05/29/13, 94.04, 94.26, 93.55, 93.98, 10958196
05/28/13, 95.03, 95.03, 94.31, 94.36, 3486678
05/24/13, 94.75, 94.79, 94.67, 94.71, 3420379
05/23/13, 95.00, 95.021, 94.69, 94.89, 3294332
05/22/13, 95.72, 95.88, 95.10, 95.15, 5243745
05/21/13, 95.56, 95.78, 95.54, 95.74, 4666469
05/20/13, 95.46, 95.64, 95.36, 95.56, 2086182
05/17/13, 95.60, 95.63, 95.34, 95.46, 4313210
05/16/13, 95.29, 95.6392, 95.18, 95.46, 6036740
05/15/13, 95.22, 95.34, 95.09, 95.23, 3179773
05/14/13, 95.20, 95.46, 95.11, 95.22, 4473867
05/13/13, 95.41, 95.50, 95.11, 95.12, 2709924
05/10/13, 96.05, 96.05, 95.46, 95.51, 4654516
05/09/13, 96.20, 96.29, 96.00, 96.01, 1644897
05/08/13, 96.02, 96.30, 96.02, 96.29, 3801148
05/07/13, 96.12, 96.1502, 95.92, 95.95, 2590808
05/06/13, 95.92, 96.06, 95.88, 96.02, 1458613
05/03/13, 95.97, 96.1301, 95.86, 95.96, 2407358
05/02/13, 95.50, 95.83, 95.37, 95.8101, 3368176
05/01/13, 95.34, 95.56, 95.18, 95.20, 4812364
04/30/13, 95.63, 95.85, 95.55, 95.85, 2953045
04/29/13, 95.39, 95.59, 95.38, 95.55, 1785236
04/26/13, 95.46, 95.48, 95.33, 95.37, 2678940
04/25/13, 95.22, 95.52, 95.14, 95.47, 2453037
04/24/13, 95.09, 95.26, 95.01, 95.21, 3872560
04/23/13, 94.77, 95.05, 94.77, 95.04, 2217509
04/22/13, 94.69, 94.89, 94.53, 94.67, 3641824
04/19/13, 94.60, 94.66, 94.43, 94.45, 2474800
04/18/13, 94.61, 94.67, 94.46, 94.50, 2476815
04/17/13, 94.61, 94.67, 94.40, 94.65, 5778867
04/16/13, 94.41, 94.81, 94.3201, 94.80, 4138245
04/15/13, 94.75, 94.75, 94.13, 94.15, 3910739
04/12/13, 94.64, 94.81, 94.55, 94.75, 2040810
04/11/13, 94.75, 94.79, 94.64, 94.721, 2676163
04/10/13, 94.35, 94.76, 94.35, 94.72, 2932542
04/09/13, 94.20, 94.42, 94.12, 94.42, 2985314
04/08/13, 94.02, 94.15, 93.95, 94.12, 2346728
04/05/13, 93.77, 94.02, 93.68, 94.02, 2243738
04/04/13, 93.92, 94.15, 93.87, 93.93, 3040600
04/03/13, 93.99, 94.05, 93.78, 93.96, 2773019
04/02/13, 93.95, 94.181, 93.92, 93.96, 2528645
04/01/13, 93.83, 94.09, 93.65, 94.03, 3822918
03/28/13, 94.235, 94.38, 94.16, 94.35, 1959045
03/27/13, 94.19, 94.295, 94.17, 94.18, 2195098
03/26/13, 94.39, 94.40, 94.255, 94.34, 1169375
03/25/13, 94.30, 94.44, 94.15, 94.17, 2131696
03/22/13, 94.38, 94.4563, 94.25, 94.31, 2201430
03/21/13, 94.37, 94.556, 94.22, 94.38, 3532361
03/20/13, 94.33, 94.595, 94.32, 94.55, 2553116
03/19/13, 94.45, 94.53, 94.205, 94.24, 3742754
03/18/13, 94.00, 94.46, 94.00, 94.40, 3000524
03/15/13, 94.25, 94.40, 94.20, 94.38, 2024225
03/14/13, 94.17, 94.39, 94.07, 94.39, 2954068
03/13/13, 94.10, 94.17, 93.95, 94.03, 1431110
03/12/13, 93.99, 94.10, 93.96, 94.01, 1526124
03/11/13, 94.08, 94.15, 94.00, 94.05, 2782754
03/08/13, 94.17, 94.19, 93.92, 94.11, 2464068
03/07/13, 93.95, 94.00, 93.90, 94.00, 2124832
03/06/13, 94.03, 94.06, 93.84, 93.86, 2117936
03/05/13, 93.79, 94.02, 93.79, 93.92, 3733332
03/04/13, 93.65, 93.80, 93.61, 93.73, 2222478
03/01/13, 93.49, 93.99, 93.48, 93.72, 4833147
02/28/13, 94.07, 94.13, 93.94, 94.04, 3821914
02/27/13, 93.85, 94.15, 93.75, 94.08, 3681567
02/26/13, 93.64, 93.92, 93.47, 93.92, 4075630
02/25/13, 93.78, 93.93, 93.45, 93.46, 5259238
02/22/13, 93.63, 93.75, 93.509, 93.75, 3367167
02/21/13, 93.42, 93.59, 93.30, 93.52, 7185278
02/20/13, 93.58, 93.72, 93.40, 93.42, 3830244
02/19/13, 93.50, 93.59, 93.41, 93.51, 3074268
02/15/13, 93.46, 93.66, 93.26, 93.42, 2482982
02/14/13, 93.25, 93.55, 93.25, 93.41, 2731857
02/13/13, 93.42, 93.479, 93.17, 93.45, 3672133
02/12/13, 92.92, 93.36, 92.91, 93.31, 3490559
02/11/13, 92.89, 93.08, 92.86, 92.99, 3146006
02/08/13, 92.92, 93.10, 92.91, 93.00, 3220363
02/07/13, 93.11, 93.13, 92.81, 92.98, 4071332
02/06/13, 93.16, 93.29, 93.06, 93.16, 2850473
02/05/13, 93.24, 93.40, 93.20, 93.30, 2590884
02/04/13, 93.29, 93.40, 93.01, 93.09, 3877918
02/01/13, 93.54, 93.76, 93.46, 93.48, 5713002
01/31/13, 93.93, 94.11, 93.62, 93.67, 5963744
01/30/13, 94.45, 94.51, 93.89, 93.96, 6595696
01/29/13, 94.71, 94.75, 94.54, 94.64, 1514230
01/28/13, 94.77, 94.84, 94.69, 94.80, 2330977
01/25/13, 94.97, 94.97, 94.78, 94.85, 2525022
01/24/13, 94.77, 94.93, 94.69, 94.88, 3175325
01/23/13, 94.71, 94.785, 94.65, 94.67, 2227879
01/22/13, 94.65, 94.87, 94.54, 94.78, 2295132
01/18/13, 94.54, 94.72, 94.48, 94.72, 2836713
01/17/13, 94.42, 94.61, 94.31, 94.59, 6058850
01/16/13, 94.28, 94.40, 94.17, 94.25, 3272660
01/15/13, 94.22, 94.42, 94.17, 94.41, 2135936
01/14/13, 94.45, 94.47, 94.22, 94.39, 2182354
01/11/13, 94.30, 94.52, 94.21, 94.52, 1982602
01/10/13, 94.33, 94.38, 94.20, 94.35, 1684469
01/09/13, 94.24, 94.24, 94.01, 94.19, 2183870
01/08/13, 94.10, 94.12, 93.93, 94.01, 2179015
01/07/13, 94.02, 94.09, 93.83, 94.08, 4137298
01/04/13, 93.98, 94.08, 93.83, 94.00, 2967960
01/03/13, 94.08, 94.29, 93.88, 93.939, 3950642
01/02/13, 94.07, 94.23, 93.80, 94.23, 3975188
12/31/12, 92.97, 93.40, 92.93, 93.35, 2918454
12/28/12, 93.01, 93.24, 92.86, 92.95, 2426008
12/27/12, 93.05, 93.20, 92.89, 93.20, 2332562
12/26/12, 93.00, 93.14, 92.79, 93.01, 2257275
12/24/12, 93.43, 93.55, 93.19, 93.29, 1221397
12/21/12, 93.44, 93.68, 93.44, 93.63, 3187911
12/20/12, 93.60, 93.91, 93.59, 93.90, 3191186
12/19/12, 93.74, 93.74, 93.57, 93.57, 2566377
12/18/12, 93.77, 93.81, 93.58, 93.67, 3409777
12/17/12, 93.32, 93.70, 93.32, 93.62, 2195516
12/14/12, 93.36, 93.50, 93.26, 93.26, 2741385
12/13/12, 93.60, 93.80, 93.30, 93.33, 4898610
12/12/12, 93.55, 93.80, 93.439, 93.6593, 3305508
12/11/12, 93.53, 93.71, 93.35, 93.38, 3206298
12/10/12, 93.50, 93.50, 93.17, 93.29, 2140688
12/07/12, 93.45, 93.50, 93.162, 93.21, 2294364
12/06/12, 93.15, 93.395, 93.15, 93.35, 2261436
12/05/12, 93.27, 93.295, 92.85, 93.18, 4580874
12/04/12, 92.99, 93.1697, 92.85, 93.03, 3121076
12/03/12, 92.86, 93.03, 92.66, 93.03, 5444354
11/30/12, 92.90, 93.15, 92.87, 93.05, 3276110
11/29/12, 92.73, 92.95, 92.60, 92.91, 3870403
11/28/12, 92.41, 92.735, 92.24, 92.50, 6528860
11/27/12, 92.26, 92.57, 92.26, 92.48, 4194088
